history_schema_version,stage,candidate,auroc,is_winner,config_json,control_fold_mean,control_fold_std,control_n_folds,control_fold_aurocs,auroc_ADC,auroc_FA,auroc_FLAIR,auroc_FLAIR*blur,auroc_T1w,auroc_T1w*blur,auroc_hipp-ADC,auroc_hipp-FA,auroc_hipp-FLAIR,auroc_hipp-T1w,auroc_hipp-qT1,auroc_hipp-thickness,auroc_qT1,auroc_qT1*blur,auroc_thickness,auroc_ADC_std,auroc_FA_std,auroc_FLAIR_std,auroc_FLAIR*blur_std,auroc_T1w_std,auroc_T1w*blur_std,auroc_hipp-ADC_std,auroc_hipp-FA_std,auroc_hipp-FLAIR_std,auroc_hipp-T1w_std,auroc_hipp-qT1_std,auroc_hipp-thickness_std,auroc_qT1_std,auroc_qT1*blur_std,auroc_thickness_std,normalization,wscore_preprocessing,intensity_depth_model,blur_depth_model,method,wscore_covariate_model,wscore_distribution,predictive_wscore,use_curvature_covariates,wscore_surface_smoothing_iterations,control_correlation_filter,control_correlation_quantile,prediction_variance_percentile,sample_surface,t1w_flair_self_norm,quant_sample_surface,subject_norm,dataset_norm,outlier_method,qc_alpha,cortical_smoothing,hippocampal_smoothing,site_harmonization,scoring_site_covariate,control_correlation_threshold
6,baseline,baseline,0.5993852801168998,True,"{""blur_depth_model"": ""boundary_gradient"", ""control_correlation_filter"": false, ""control_correlation_quantile"": null, ""control_correlation_threshold"": 0.6, ""cortical_smoothing"": 0, ""dataset_norm"": ""none"", ""hippocampal_smoothing"": 0, ""intensity_depth_model"": ""sample_white"", ""method"": ""zscore"", ""normalization"": ""none"", ""outlier_method"": ""none"", ""prediction_variance_percentile"": null, ""predictive_wscore"": false, ""qc_alpha"": null, ""quant_sample_surface"": ""white"", ""sample_surface"": ""white"", ""scoring_site_covariate"": false, ""site_harmonization"": ""none"", ""subject_norm"": ""none"", ""t1w_flair_self_norm"": null, ""use_curvature_covariates"": false, ""wscore_covariate_model"": ""linear"", ""wscore_distribution"": ""gaussian"", ""wscore_preprocessing"": ""none"", ""wscore_surface_smoothing_iterations"": 0}",0.5993852801168998,0.0009269108048999,5,"[0.598348, 0.598498, 0.600335, 0.600185, 0.599561]",0.546497,0.517907,0.637736,0.651637,0.588613,0.571261,0.741743,0.528573,0.733449,0.630442,0.69912,0.575001,0.621129,0.554139,0.562723,0.005905,0.004455,0.014657,0.005705,0.014368,0.012111,0.004696,0.006307,0.004381,0.014412,0.007202,0.009517,0.009832,0.004534,0.002517,none,none,sample_white,boundary_gradient,zscore,linear,gaussian,False,False,0,False,,,white,,white,none,none,none,,0,0,none,False,0.6
6,subject_norm,whitestripe,0.5740049975846386,False,"{""blur_depth_model"": ""boundary_gradient"", ""control_correlation_filter"": false, ""control_correlation_quantile"": null, ""control_correlation_threshold"": 0.6, ""cortical_smoothing"": 0, ""dataset_norm"": ""none"", ""hippocampal_smoothing"": 0, ""intensity_depth_model"": ""sample_white"", ""method"": ""zscore"", ""normalization"": ""whitestripe"", ""outlier_method"": ""none"", ""prediction_variance_percentile"": null, ""predictive_wscore"": false, ""qc_alpha"": null, ""quant_sample_surface"": ""white"", ""sample_surface"": ""white"", ""scoring_site_covariate"": false, ""site_harmonization"": ""none"", ""subject_norm"": ""whitestripe"", ""t1w_flair_self_norm"": null, ""use_curvature_covariates"": false, ""wscore_covariate_model"": ""linear"", ""wscore_distribution"": ""gaussian"", ""wscore_preprocessing"": ""none"", ""wscore_surface_smoothing_iterations"": 0}",0.5740049975846386,0.0073728795058772,5,"[0.571696, 0.577158, 0.579945, 0.562132, 0.579095]",0.546497,0.517907,0.555274,0.576737,0.548041,0.592052,0.741743,0.528573,0.575634,0.59687,0.69912,0.575001,0.621129,0.554139,0.562723,0.005905,0.004455,0.00511,0.013847,0.029898,0.031083,0.004696,0.006307,0.037408,0.030719,0.007202,0.009517,0.009832,0.004534,0.002517,whitestripe,none,sample_white,boundary_gradient,zscore,linear,gaussian,False,False,0,False,,,white,,white,whitestripe,none,none,,0,0,none,False,0.6
6,subject_norm,wm_mean,0.574783084960359,False,"{""blur_depth_model"": ""boundary_gradient"", ""control_correlation_filter"": false, ""control_correlation_quantile"": null, ""control_correlation_threshold"": 0.6, ""cortical_smoothing"": 0, ""dataset_norm"": ""none"", ""hippocampal_smoothing"": 0, ""intensity_depth_model"": ""sample_white"", ""method"": ""zscore"", ""normalization"": ""wmmean"", ""outlier_method"": ""none"", ""prediction_variance_percentile"": null, ""predictive_wscore"": false, ""qc_alpha"": null, ""quant_sample_surface"": ""white"", ""sample_surface"": ""white"", ""scoring_site_covariate"": false, ""site_harmonization"": ""none"", ""subject_norm"": ""wmmean"", ""t1w_flair_self_norm"": null, ""use_curvature_covariates"": false, ""wscore_covariate_model"": ""linear"", ""wscore_distribution"": ""gaussian"", ""wscore_preprocessing"": ""none"", ""wscore_surface_smoothing_iterations"": 0}",0.574783084960359,0.0033195383439051,5,"[0.572636, 0.574623, 0.580497, 0.572378, 0.573781]",0.546497,0.517907,0.539426,0.604494,0.565829,0.586319,0.741743,0.528573,0.564372,0.576929,0.69912,0.575001,0.621129,0.554139,0.562723,0.005905,0.004455,0.009569,0.010654,0.012855,0.014586,0.004696,0.006307,0.050668,0.012435,0.007202,0.009517,0.009832,0.004534,0.002517,wmmean,none,sample_white,boundary_gradient,zscore,linear,gaussian,False,False,0,False,,,white,,white,wmmean,none,none,,0,0,none,False,0.6
6,subject_norm,WINNER:keep,0.5993852801168998,True,"{""blur_depth_model"": ""boundary_gradient"", ""control_correlation_filter"": false, ""control_correlation_quantile"": null, ""control_correlation_threshold"": 0.6, ""cortical_smoothing"": 0, ""dataset_norm"": ""none"", ""hippocampal_smoothing"": 0, ""intensity_depth_model"": ""sample_white"", ""method"": ""zscore"", ""normalization"": ""none"", ""outlier_method"": ""none"", ""prediction_variance_percentile"": null, ""predictive_wscore"": false, ""qc_alpha"": null, ""quant_sample_surface"": ""white"", ""sample_surface"": ""white"", ""scoring_site_covariate"": false, ""site_harmonization"": ""none"", ""subject_norm"": ""none"", ""t1w_flair_self_norm"": null, ""use_curvature_covariates"": false, ""wscore_covariate_model"": ""linear"", ""wscore_distribution"": ""gaussian"", ""wscore_preprocessing"": ""none"", ""wscore_surface_smoothing_iterations"": 0}",0.5993852801168998,0.0009269108048999,5,"[0.598348, 0.598498, 0.600335, 0.600185, 0.599561]",0.546497,0.517907,0.637736,0.651637,0.588613,0.571261,0.741743,0.528573,0.733449,0.630442,0.69912,0.575001,0.621129,0.554139,0.562723,0.005905,0.004455,0.014657,0.005705,0.014368,0.012111,0.004696,0.006307,0.004381,0.014412,0.007202,0.009517,0.009832,0.004534,0.002517,none,none,sample_white,boundary_gradient,zscore,linear,gaussian,False,False,0,False,,,white,,white,none,none,none,,0,0,none,False,0.6
6,outlier_detection,corr_q05,0.6010693526811582,False,"{""blur_depth_model"": ""boundary_gradient"", ""control_correlation_filter"": true, ""control_correlation_quantile"": 0.05, ""control_correlation_threshold"": 0.6, ""cortical_smoothing"": 0, ""dataset_norm"": ""none"", ""hippocampal_smoothing"": 0, ""intensity_depth_model"": ""sample_white"", ""method"": ""zscore"", ""normalization"": ""none"", ""outlier_method"": ""correlation"", ""prediction_variance_percentile"": null, ""predictive_wscore"": false, ""qc_alpha"": null, ""quant_sample_surface"": ""white"", ""sample_surface"": ""white"", ""scoring_site_covariate"": false, ""site_harmonization"": ""none"", ""subject_norm"": ""none"", ""t1w_flair_self_norm"": null, ""use_curvature_covariates"": false, ""wscore_covariate_model"": ""linear"", ""wscore_distribution"": ""gaussian"", ""wscore_preprocessing"": ""none"", ""wscore_surface_smoothing_iterations"": 0}",0.6010693526811582,0.0072282011048604,5,"[0.594394, 0.593671, 0.609893, 0.606699, 0.60069]",0.546902,0.518467,0.641343,0.650266,0.590999,0.570831,0.742261,0.529552,0.745038,0.628701,0.701193,0.580692,0.621241,0.557225,0.565036,0.009746,0.003419,0.014252,0.01914,0.051438,0.019456,0.002939,0.005612,0.006315,0.040444,0.013358,0.009585,0.006178,0.004118,0.002471,none,none,sample_white,boundary_gradient,zscore,linear,gaussian,False,False,0,True,0.05,,white,,white,none,none,correlation,,0,0,none,False,0.6
6,outlier_detection,corr_q10,0.601564255738543,False,"{""blur_depth_model"": ""boundary_gradient"", ""control_correlation_filter"": true, ""control_correlation_quantile"": 0.1, ""control_correlation_threshold"": 0.6, ""cortical_smoothing"": 0, ""dataset_norm"": ""none"", ""hippocampal_smoothing"": 0, ""intensity_depth_model"": ""sample_white"", ""method"": ""zscore"", ""normalization"": ""none"", ""outlier_method"": ""correlation"", ""prediction_variance_percentile"": null, ""predictive_wscore"": false, ""qc_alpha"": null, ""quant_sample_surface"": ""white"", ""sample_surface"": ""white"", ""scoring_site_covariate"": false, ""site_harmonization"": ""none"", ""subject_norm"": ""none"", ""t1w_flair_self_norm"": null, ""use_curvature_covariates"": false, ""wscore_covariate_model"": ""linear"", ""wscore_distribution"": ""gaussian"", ""wscore_preprocessing"": ""none"", ""wscore_surface_smoothing_iterations"": 0}",0.601564255738543,0.0026245036218756,5,"[0.600877, 0.597671, 0.60128, 0.603942, 0.604052]",0.546645,0.518592,0.644244,0.647488,0.591244,0.572658,0.741676,0.528827,0.751436,0.62926,0.701712,0.57924,0.620721,0.557936,0.565969,0.009541,0.00109,0.012133,0.01004,0.033468,0.010074,0.005367,0.004269,0.00876,0.024808,0.004701,0.017094,0.012773,0.004816,0.003491,none,none,sample_white,boundary_gradient,zscore,linear,gaussian,False,False,0,True,0.1,,white,,white,none,none,correlation,,0,0,none,False,0.6
6,outlier_detection,corr_q20,0.6056338540745823,False,"{""blur_depth_model"": ""boundary_gradient"", ""control_correlation_filter"": true, ""control_correlation_quantile"": 0.2, ""control_correlation_threshold"": 0.6, ""cortical_smoothing"": 0, ""dataset_norm"": ""none"", ""hippocampal_smoothing"": 0, ""intensity_depth_model"": ""sample_white"", ""method"": ""zscore"", ""normalization"": ""none"", ""outlier_method"": ""correlation"", ""prediction_variance_percentile"": null, ""predictive_wscore"": false, ""qc_alpha"": null, ""quant_sample_surface"": ""white"", ""sample_surface"": ""white"", ""scoring_site_covariate"": false, ""site_harmonization"": ""none"", ""subject_norm"": ""none"", ""t1w_flair_self_norm"": null, ""use_curvature_covariates"": false, ""wscore_covariate_model"": ""linear"", ""wscore_distribution"": ""gaussian"", ""wscore_preprocessing"": ""none"", ""wscore_surface_smoothing_iterations"": 0}",0.6056338540745823,0.0088649201155514,5,"[0.60258, 0.603805, 0.620193, 0.605426, 0.596166]",0.546318,0.520031,0.646198,0.646403,0.604736,0.578473,0.744796,0.530344,0.770817,0.636813,0.70414,0.581344,0.624246,0.560618,0.56788,0.005275,0.002698,0.011347,0.016236,0.053436,0.012577,0.007381,0.00348,0.005846,0.045934,0.011266,0.007024,0.008714,0.00496,0.003327,none,none,sample_white,boundary_gradient,zscore,linear,gaussian,False,False,0,True,0.2,,white,,white,none,none,correlation,,0,0,none,False,0.6
6,outlier_detection,robpca_a0.01,0.6006488698229595,False,"{""blur_depth_model"": ""boundary_gradient"", ""control_correlation_filter"": false, ""control_correlation_quantile"": null, ""control_correlation_threshold"": 0.6, ""cortical_smoothing"": 0, ""dataset_norm"": ""none"", ""hippocampal_smoothing"": 0, ""intensity_depth_model"": ""sample_white"", ""method"": ""zscore"", ""normalization"": ""none"", ""outlier_method"": ""robpca"", ""prediction_variance_percentile"": null, ""predictive_wscore"": false, ""qc_alpha"": 0.01, ""quant_sample_surface"": ""white"", ""sample_surface"": ""white"", ""scoring_site_covariate"": false, ""site_harmonization"": ""none"", ""subject_norm"": ""none"", ""t1w_flair_self_norm"": null, ""use_curvature_covariates"": false, ""wscore_covariate_model"": ""linear"", ""wscore_distribution"": ""gaussian"", ""wscore_preprocessing"": ""none"", ""wscore_surface_smoothing_iterations"": 0}",0.6006488698229595,0.007978950600059,5,"[0.601496, 0.598144, 0.601105, 0.612357, 0.590142]",0.555948,0.518475,0.646401,0.640286,0.57697,0.567426,0.750723,0.52977,0.756985,0.613095,0.702223,0.58151,0.634493,0.556653,0.564298,0.008499,0.001973,0.018366,0.009236,0.031547,0.012807,0.010694,0.005615,0.004231,0.03606,0.006701,0.003917,0.004179,0.003536,0.002961,none,none,sample_white,boundary_gradient,zscore,linear,gaussian,False,False,0,False,,,white,,white,none,none,robpca,0.01,0,0,none,False,0.6
6,outlier_detection,robpca_a0.05,0.6047115482581991,False,"{""blur_depth_model"": ""boundary_gradient"", ""control_correlation_filter"": false, ""control_correlation_quantile"": null, ""control_correlation_threshold"": 0.6, ""cortical_smoothing"": 0, ""dataset_norm"": ""none"", ""hippocampal_smoothing"": 0, ""intensity_depth_model"": ""sample_white"", ""method"": ""zscore"", ""normalization"": ""none"", ""outlier_method"": ""robpca"", ""prediction_variance_percentile"": null, ""predictive_wscore"": false, ""qc_alpha"": 0.05, ""quant_sample_surface"": ""white"", ""sample_surface"": ""white"", ""scoring_site_covariate"": false, ""site_harmonization"": ""none"", ""subject_norm"": ""none"", ""t1w_flair_self_norm"": null, ""use_curvature_covariates"": false, ""wscore_covariate_model"": ""linear"", ""wscore_distribution"": ""gaussian"", ""wscore_preprocessing"": ""none"", ""wscore_surface_smoothing_iterations"": 0}",0.6047115482581991,0.0044561035905513,5,"[0.598331, 0.606666, 0.606459, 0.60981, 0.602292]",0.556802,0.519145,0.650189,0.643426,0.598918,0.570851,0.748527,0.528334,0.775963,0.618712,0.700596,0.576758,0.636874,0.557284,0.564943,0.005754,0.003922,0.020628,0.021775,0.040059,0.009251,0.004241,0.006141,0.006853,0.033949,0.008696,0.011897,0.00731,0.004636,0.004101,none,none,sample_white,boundary_gradient,zscore,linear,gaussian,False,False,0,False,,,white,,white,none,none,robpca,0.05,0,0,none,False,0.6
6,outlier_detection,robpca_a0.10,0.6066553422027159,False,"{""blur_depth_model"": ""boundary_gradient"", ""control_correlation_filter"": false, ""control_correlation_quantile"": null, ""control_correlation_threshold"": 0.6, ""cortical_smoothing"": 0, ""dataset_norm"": ""none"", ""hippocampal_smoothing"": 0, ""intensity_depth_model"": ""sample_white"", ""method"": ""zscore"", ""normalization"": ""none"", ""outlier_method"": ""robpca"", ""prediction_variance_percentile"": null, ""predictive_wscore"": false, ""qc_alpha"": 0.1, ""quant_sample_surface"": ""white"", ""sample_surface"": ""white"", ""scoring_site_covariate"": false, ""site_harmonization"": ""none"", ""subject_norm"": ""none"", ""t1w_flair_self_norm"": null, ""use_curvature_covariates"": false, ""wscore_covariate_model"": ""linear"", ""wscore_distribution"": ""gaussian"", ""wscore_preprocessing"": ""none"", ""wscore_surface_smoothing_iterations"": 0}",0.6066553422027159,0.011081977980729,5,"[0.614833, 0.620768, 0.593358, 0.600165, 0.604152]",0.554839,0.518516,0.654455,0.653663,0.595215,0.575867,0.745057,0.531085,0.797049,0.608082,0.703026,0.575991,0.638476,0.563373,0.563678,0.006564,0.006653,0.031976,0.047841,0.03349,0.020944,0.010097,0.015029,0.010378,0.037312,0.011078,0.011781,0.011777,0.004889,0.001859,none,none,sample_white,boundary_gradient,zscore,linear,gaussian,False,False,0,False,,,white,,white,none,none,robpca,0.1,0,0,none,False,0.6
6,outlier_detection,WINNER:robpca_a0.10,0.6066553422027159,True,"{""blur_depth_model"": ""boundary_gradient"", ""control_correlation_filter"": false, ""control_correlation_quantile"": null, ""control_correlation_threshold"": 0.6, ""cortical_smoothing"": 0, ""dataset_norm"": ""none"", ""hippocampal_smoothing"": 0, ""intensity_depth_model"": ""sample_white"", ""method"": ""zscore"", ""normalization"": ""none"", ""outlier_method"": ""robpca"", ""prediction_variance_percentile"": null, ""predictive_wscore"": false, ""qc_alpha"": 0.1, ""quant_sample_surface"": ""white"", ""sample_surface"": ""white"", ""scoring_site_covariate"": false, ""site_harmonization"": ""none"", ""subject_norm"": ""none"", ""t1w_flair_self_norm"": null, ""use_curvature_covariates"": false, ""wscore_covariate_model"": ""linear"", ""wscore_distribution"": ""gaussian"", ""wscore_preprocessing"": ""none"", ""wscore_surface_smoothing_iterations"": 0}",0.6066553422027159,0.011081977980729,5,"[0.614833, 0.620768, 0.593358, 0.600165, 0.604152]",0.554839,0.518516,0.654455,0.653663,0.595215,0.575867,0.745057,0.531085,0.797049,0.608082,0.703026,0.575991,0.638476,0.563373,0.563678,0.006564,0.006653,0.031976,0.047841,0.03349,0.020944,0.010097,0.015029,0.010378,0.037312,0.011078,0.011781,0.011777,0.004889,0.001859,none,none,sample_white,boundary_gradient,zscore,linear,gaussian,False,False,0,False,,,white,,white,none,none,robpca,0.1,0,0,none,False,0.6
6,dataset_norm,ravel,0.6104503869542686,False,"{""blur_depth_model"": ""boundary_gradient"", ""control_correlation_filter"": false, ""control_correlation_quantile"": null, ""control_correlation_threshold"": 0.6, ""cortical_smoothing"": 0, ""dataset_norm"": ""ravel"", ""hippocampal_smoothing"": 0, ""intensity_depth_model"": ""sample_white"", ""method"": ""zscore"", ""normalization"": ""noneRavel"", ""outlier_method"": ""robpca"", ""prediction_variance_percentile"": null, ""predictive_wscore"": false, ""qc_alpha"": 0.1, ""quant_sample_surface"": ""white"", ""sample_surface"": ""white"", ""scoring_site_covariate"": false, ""site_harmonization"": ""none"", ""subject_norm"": ""none"", ""t1w_flair_self_norm"": null, ""use_curvature_covariates"": false, ""wscore_covariate_model"": ""linear"", ""wscore_distribution"": ""gaussian"", ""wscore_preprocessing"": ""none"", ""wscore_surface_smoothing_iterations"": 0}",0.6104503869542686,0.0096727846926606,5,"[0.614783, 0.622061, 0.59572, 0.61106, 0.608628]",0.554839,0.518516,0.676238,0.658769,0.610843,0.58162,0.745057,0.531085,0.813096,0.577087,0.703026,0.575991,0.638476,0.563373,0.563678,0.006564,0.006653,0.026858,0.042774,0.02599,0.014809,0.010097,0.015029,0.037265,0.020052,0.011078,0.011781,0.011777,0.004889,0.001859,noneRavel,none,sample_white,boundary_gradient,zscore,linear,gaussian,False,False,0,False,,,white,,white,none,ravel,robpca,0.1,0,0,none,False,0.6
