history_schema_version,stage,candidate,auroc,is_winner,config_json,control_fold_mean,control_fold_std,control_n_folds,control_fold_aurocs,auroc_ADC,auroc_FA,auroc_FLAIR,auroc_FLAIR*blur,auroc_T1w,auroc_T1w*blur,auroc_hipp-ADC,auroc_hipp-FA,auroc_hipp-FLAIR,auroc_hipp-T1w,auroc_hipp-qT1,auroc_hipp-thickness,auroc_qT1,auroc_qT1*blur,auroc_thickness,auroc_ADC_std,auroc_FA_std,auroc_FLAIR_std,auroc_FLAIR*blur_std,auroc_T1w_std,auroc_T1w*blur_std,auroc_hipp-ADC_std,auroc_hipp-FA_std,auroc_hipp-FLAIR_std,auroc_hipp-T1w_std,auroc_hipp-qT1_std,auroc_hipp-thickness_std,auroc_qT1_std,auroc_qT1*blur_std,auroc_thickness_std,normalization,wscore_preprocessing,intensity_depth_model,blur_depth_model,method,wscore_covariate_model,wscore_distribution,predictive_wscore,use_curvature_covariates,wscore_surface_smoothing_iterations,control_correlation_filter,control_correlation_quantile,prediction_variance_percentile,sample_surface,t1w_flair_self_norm,quant_sample_surface,subject_norm,dataset_norm,outlier_method,qc_alpha,cortical_smoothing,hippocampal_smoothing,site_harmonization,scoring_site_covariate,control_correlation_threshold
6,baseline,baseline,0.5349133553844075,True,"{""blur_depth_model"": ""boundary_gradient"", ""control_correlation_filter"": false, ""control_correlation_quantile"": null, ""control_correlation_threshold"": 0.6, ""cortical_smoothing"": 0, ""dataset_norm"": ""none"", ""hippocampal_smoothing"": 0, ""intensity_depth_model"": ""sample_white"", ""method"": ""zscore"", ""normalization"": ""none"", ""outlier_method"": ""none"", ""prediction_variance_percentile"": null, ""predictive_wscore"": false, ""qc_alpha"": null, ""quant_sample_surface"": ""white"", ""sample_surface"": ""white"", ""scoring_site_covariate"": false, ""site_harmonization"": ""none"", ""subject_norm"": ""none"", ""t1w_flair_self_norm"": null, ""use_curvature_covariates"": false, ""wscore_covariate_model"": ""linear"", ""wscore_distribution"": ""gaussian"", ""wscore_preprocessing"": ""none"", ""wscore_surface_smoothing_iterations"": 0}",0.5349133553844075,0.0,1,[0.534913],0.549537,0.514742,0.544658,0.510353,0.518855,0.538768,0.670969,0.492845,0.458965,0.519239,0.552883,0.52824,0.552385,0.544689,0.551519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,none,sample_white,boundary_gradient,zscore,linear,gaussian,False,False,0,False,,,white,,white,none,none,none,,0,0,none,False,0.6
6,subject_norm,whitestripe,0.5511959278789742,False,"{""blur_depth_model"": ""boundary_gradient"", ""control_correlation_filter"": false, ""control_correlation_quantile"": null, ""control_correlation_threshold"": 0.6, ""cortical_smoothing"": 0, ""dataset_norm"": ""none"", ""hippocampal_smoothing"": 0, ""intensity_depth_model"": ""sample_white"", ""method"": ""zscore"", ""normalization"": ""whitestripe"", ""outlier_method"": ""none"", ""prediction_variance_percentile"": null, ""predictive_wscore"": false, ""qc_alpha"": null, ""quant_sample_surface"": ""white"", ""sample_surface"": ""white"", ""scoring_site_covariate"": false, ""site_harmonization"": ""none"", ""subject_norm"": ""whitestripe"", ""t1w_flair_self_norm"": null, ""use_curvature_covariates"": false, ""wscore_covariate_model"": ""linear"", ""wscore_distribution"": ""gaussian"", ""wscore_preprocessing"": ""none"", ""wscore_surface_smoothing_iterations"": 0}",0.5511959278789742,0.0,1,[0.551196],0.549537,0.514742,0.575185,0.598705,0.503358,0.555279,0.670969,0.492845,0.608092,0.480398,0.552883,0.52824,0.552385,0.544689,0.551519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,whitestripe,none,sample_white,boundary_gradient,zscore,linear,gaussian,False,False,0,False,,,white,,white,whitestripe,none,none,,0,0,none,False,0.6
6,subject_norm,wm_mean,0.5564414560976159,False,"{""blur_depth_model"": ""boundary_gradient"", ""control_correlation_filter"": false, ""control_correlation_quantile"": null, ""control_correlation_threshold"": 0.6, ""cortical_smoothing"": 0, ""dataset_norm"": ""none"", ""hippocampal_smoothing"": 0, ""intensity_depth_model"": ""sample_white"", ""method"": ""zscore"", ""normalization"": ""wmmean"", ""outlier_method"": ""none"", ""prediction_variance_percentile"": null, ""predictive_wscore"": false, ""qc_alpha"": null, ""quant_sample_surface"": ""white"", ""sample_surface"": ""white"", ""scoring_site_covariate"": false, ""site_harmonization"": ""none"", ""subject_norm"": ""wmmean"", ""t1w_flair_self_norm"": null, ""use_curvature_covariates"": false, ""wscore_covariate_model"": ""linear"", ""wscore_distribution"": ""gaussian"", ""wscore_preprocessing"": ""none"", ""wscore_surface_smoothing_iterations"": 0}",0.5564414560976159,0.0,1,[0.556441],0.549537,0.514742,0.543018,0.605714,0.53775,0.575559,0.670969,0.492845,0.613643,0.528599,0.552883,0.52824,0.552385,0.544689,0.551519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wmmean,none,sample_white,boundary_gradient,zscore,linear,gaussian,False,False,0,False,,,white,,white,wmmean,none,none,,0,0,none,False,0.6
6,subject_norm,WINNER:wm_mean,0.5564414560976159,True,"{""blur_depth_model"": ""boundary_gradient"", ""control_correlation_filter"": false, ""control_correlation_quantile"": null, ""control_correlation_threshold"": 0.6, ""cortical_smoothing"": 0, ""dataset_norm"": ""none"", ""hippocampal_smoothing"": 0, ""intensity_depth_model"": ""sample_white"", ""method"": ""zscore"", ""normalization"": ""wmmean"", ""outlier_method"": ""none"", ""prediction_variance_percentile"": null, ""predictive_wscore"": false, ""qc_alpha"": null, ""quant_sample_surface"": ""white"", ""sample_surface"": ""white"", ""scoring_site_covariate"": false, ""site_harmonization"": ""none"", ""subject_norm"": ""wmmean"", ""t1w_flair_self_norm"": null, ""use_curvature_covariates"": false, ""wscore_covariate_model"": ""linear"", ""wscore_distribution"": ""gaussian"", ""wscore_preprocessing"": ""none"", ""wscore_surface_smoothing_iterations"": 0}",0.5564414560976159,0.0,1,[0.556441],0.549537,0.514742,0.543018,0.605714,0.53775,0.575559,0.670969,0.492845,0.613643,0.528599,0.552883,0.52824,0.552385,0.544689,0.551519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wmmean,none,sample_white,boundary_gradient,zscore,linear,gaussian,False,False,0,False,,,white,,white,wmmean,none,none,,0,0,none,False,0.6
6,outlier_detection,corr_q05,0.5572159450968016,False,"{""blur_depth_model"": ""boundary_gradient"", ""control_correlation_filter"": true, ""control_correlation_quantile"": 0.05, ""control_correlation_threshold"": 0.6, ""cortical_smoothing"": 0, ""dataset_norm"": ""none"", ""hippocampal_smoothing"": 0, ""intensity_depth_model"": ""sample_white"", ""method"": ""zscore"", ""normalization"": ""wmmean"", ""outlier_method"": ""correlation"", ""prediction_variance_percentile"": null, ""predictive_wscore"": false, ""qc_alpha"": null, ""quant_sample_surface"": ""white"", ""sample_surface"": ""white"", ""scoring_site_covariate"": false, ""site_harmonization"": ""none"", ""subject_norm"": ""wmmean"", ""t1w_flair_self_norm"": null, ""use_curvature_covariates"": false, ""wscore_covariate_model"": ""linear"", ""wscore_distribution"": ""gaussian"", ""wscore_preprocessing"": ""none"", ""wscore_surface_smoothing_iterations"": 0}",0.5572159450968016,0.0,1,[0.557216],0.549646,0.514807,0.547097,0.608788,0.538287,0.573621,0.668802,0.492653,0.616688,0.529619,0.553087,0.529338,0.552062,0.546467,0.551741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wmmean,none,sample_white,boundary_gradient,zscore,linear,gaussian,False,False,0,True,0.05,,white,,white,wmmean,none,correlation,,0,0,none,False,0.6
6,outlier_detection,corr_q10,0.5574571914927845,False,"{""blur_depth_model"": ""boundary_gradient"", ""control_correlation_filter"": true, ""control_correlation_quantile"": 0.1, ""control_correlation_threshold"": 0.6, ""cortical_smoothing"": 0, ""dataset_norm"": ""none"", ""hippocampal_smoothing"": 0, ""intensity_depth_model"": ""sample_white"", ""method"": ""zscore"", ""normalization"": ""wmmean"", ""outlier_method"": ""correlation"", ""prediction_variance_percentile"": null, ""predictive_wscore"": false, ""qc_alpha"": null, ""quant_sample_surface"": ""white"", ""sample_surface"": ""white"", ""scoring_site_covariate"": false, ""site_harmonization"": ""none"", ""subject_norm"": ""wmmean"", ""t1w_flair_self_norm"": null, ""use_curvature_covariates"": false, ""wscore_covariate_model"": ""linear"", ""wscore_distribution"": ""gaussian"", ""wscore_preprocessing"": ""none"", ""wscore_surface_smoothing_iterations"": 0}",0.5574571914927845,0.0,1,[0.557457],0.549329,0.514521,0.548378,0.613124,0.537202,0.573271,0.669798,0.492075,0.617329,0.529129,0.5537,0.526442,0.551708,0.546189,0.552078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wmmean,none,sample_white,boundary_gradient,zscore,linear,gaussian,False,False,0,True,0.1,,white,,white,wmmean,none,correlation,,0,0,none,False,0.6
6,outlier_detection,corr_q20,0.5580636871130517,False,"{""blur_depth_model"": ""boundary_gradient"", ""control_correlation_filter"": true, ""control_correlation_quantile"": 0.2, ""control_correlation_threshold"": 0.6, ""cortical_smoothing"": 0, ""dataset_norm"": ""none"", ""hippocampal_smoothing"": 0, ""intensity_depth_model"": ""sample_white"", ""method"": ""zscore"", ""normalization"": ""wmmean"", ""outlier_method"": ""correlation"", ""prediction_variance_percentile"": null, ""predictive_wscore"": false, ""qc_alpha"": null, ""quant_sample_surface"": ""white"", ""sample_surface"": ""white"", ""scoring_site_covariate"": false, ""site_harmonization"": ""none"", ""subject_norm"": ""wmmean"", ""t1w_flair_self_norm"": null, ""use_curvature_covariates"": false, ""wscore_covariate_model"": ""linear"", ""wscore_distribution"": ""gaussian"", ""wscore_preprocessing"": ""none"", ""wscore_surface_smoothing_iterations"": 0}",0.5580636871130517,0.0,1,[0.558064],0.547774,0.515292,0.550971,0.619281,0.536461,0.57116,0.669714,0.491104,0.6174,0.530256,0.556633,0.529514,0.55114,0.545961,0.551542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wmmean,none,sample_white,boundary_gradient,zscore,linear,gaussian,False,False,0,True,0.2,,white,,white,wmmean,none,correlation,,0,0,none,False,0.6
6,outlier_detection,robpca_a0.01,0.5585449403554317,False,"{""blur_depth_model"": ""boundary_gradient"", ""control_correlation_filter"": false, ""control_correlation_quantile"": null, ""control_correlation_threshold"": 0.6, ""cortical_smoothing"": 0, ""dataset_norm"": ""none"", ""hippocampal_smoothing"": 0, ""intensity_depth_model"": ""sample_white"", ""method"": ""zscore"", ""normalization"": ""wmmean"", ""outlier_method"": ""robpca"", ""prediction_variance_percentile"": null, ""predictive_wscore"": false, ""qc_alpha"": 0.01, ""quant_sample_surface"": ""white"", ""sample_surface"": ""white"", ""scoring_site_covariate"": false, ""site_harmonization"": ""none"", ""subject_norm"": ""wmmean"", ""t1w_flair_self_norm"": null, ""use_curvature_covariates"": false, ""wscore_covariate_model"": ""linear"", ""wscore_distribution"": ""gaussian"", ""wscore_preprocessing"": ""none"", ""wscore_surface_smoothing_iterations"": 0}",0.5585449403554317,0.0,1,[0.558545],0.551044,0.514304,0.546547,0.61439,0.541169,0.575285,0.671258,0.493737,0.619875,0.527345,0.553852,0.530358,0.556697,0.54739,0.549826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wmmean,none,sample_white,boundary_gradient,zscore,linear,gaussian,False,False,0,False,,,white,,white,wmmean,none,robpca,0.01,0,0,none,False,0.6
6,outlier_detection,robpca_a0.05,0.5588424977721612,False,"{""blur_depth_model"": ""boundary_gradient"", ""control_correlation_filter"": false, ""control_correlation_quantile"": null, ""control_correlation_threshold"": 0.6, ""cortical_smoothing"": 0, ""dataset_norm"": ""none"", ""hippocampal_smoothing"": 0, ""intensity_depth_model"": ""sample_white"", ""method"": ""zscore"", ""normalization"": ""wmmean"", ""outlier_method"": ""robpca"", ""prediction_variance_percentile"": null, ""predictive_wscore"": false, ""qc_alpha"": 0.05, ""quant_sample_surface"": ""white"", ""sample_surface"": ""white"", ""scoring_site_covariate"": false, ""site_harmonization"": ""none"", ""subject_norm"": ""wmmean"", ""t1w_flair_self_norm"": null, ""use_curvature_covariates"": false, ""wscore_covariate_model"": ""linear"", ""wscore_distribution"": ""gaussian"", ""wscore_preprocessing"": ""none"", ""wscore_surface_smoothing_iterations"": 0}",0.5588424977721612,0.0,1,[0.558842],0.549528,0.513882,0.546229,0.616916,0.537412,0.575813,0.673769,0.494866,0.627354,0.526483,0.556175,0.530293,0.556832,0.546917,0.550476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wmmean,none,sample_white,boundary_gradient,zscore,linear,gaussian,False,False,0,False,,,white,,white,wmmean,none,robpca,0.05,0,0,none,False,0.6
6,outlier_detection,robpca_a0.10,0.5590544037766146,False,"{""blur_depth_model"": ""boundary_gradient"", ""control_correlation_filter"": false, ""control_correlation_quantile"": null, ""control_correlation_threshold"": 0.6, ""cortical_smoothing"": 0, ""dataset_norm"": ""none"", ""hippocampal_smoothing"": 0, ""intensity_depth_model"": ""sample_white"", ""method"": ""zscore"", ""normalization"": ""wmmean"", ""outlier_method"": ""robpca"", ""prediction_variance_percentile"": null, ""predictive_wscore"": false, ""qc_alpha"": 0.1, ""quant_sample_surface"": ""white"", ""sample_surface"": ""white"", ""scoring_site_covariate"": false, ""site_harmonization"": ""none"", ""subject_norm"": ""wmmean"", ""t1w_flair_self_norm"": null, ""use_curvature_covariates"": false, ""wscore_covariate_model"": ""linear"", ""wscore_distribution"": ""gaussian"", ""wscore_preprocessing"": ""none"", ""wscore_surface_smoothing_iterations"": 0}",0.5590544037766146,0.0,1,[0.559054],0.547417,0.513923,0.545672,0.618043,0.540855,0.573207,0.673567,0.494458,0.637285,0.524786,0.555537,0.52836,0.557428,0.547942,0.549922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wmmean,none,sample_white,boundary_gradient,zscore,linear,gaussian,False,False,0,False,,,white,,white,wmmean,none,robpca,0.1,0,0,none,False,0.6
